0,パンはパンでも食べられないパンは？,フライパン,,,,,
1,食べられないパン屋さんにある白黒模様のパンってなに？,パンダ,,,,,
2,「リンリンリンリンリン」とベルがなる食べ物なーんだ？,リンゴ,,,,,
3,歩いて渡れないけれど、とても綺麗な七色の橋ってなに？,ニジ,,,,,
4,「ふえ」をさかさまにふくとでてくるアルファベットってなぁに？,エフ,,,,,
5,夏でも手がふるえている4本あしの家具ってなぁに？,テーブル,,,,,
6,「え」っていっているのに、「お」に聞こえる顔ってどんな顔？,エガオ,,,,,
7,3つの「かん」にはいっている、果物はなぁに？,ミカン,,,,,
8,大根で作る、黄色い「あん」ってなぁに？,タクアン,,,,,
9,ケガをしたときに、まく「たい」ってどんな「たい」？,ホウタイ,,,,,
10,10回ふーふーしないと食べられないものなーんだ？,トウフ,,,,,
11,コップに「す」を10こいれる、甘くておいしい飲み物なーんだ？,ジュース,,,,,\n
12,海じゃなくて、空で泳ぐ仲良しのお魚家族はなーんだ？,コイノボリ,,,,,
13,人をのせて空をとべる「き」ってどんな「き」？,ヒコウキ,,,,,
14,ネコが大好きな２つの星ってなぁに,ニボシ,,,,,
15,おまつりのときに、人が担ぐ「こし」ってなぁに？,ミコシ,,,,,
16,買い物にいくと、カバンからでるサイってどんなサイ？,サイフ,,,,,
17,すっぱくて黄色い「もん」ってどんな「もん」？,レモン,,,,,
18,かべをぬるときに使う黄色のペンってなぁに？,ペンキ,,,,,
19,読んでる途中の本に挟む「おり」ってなぁに？,シオリ,,,,,
20,こいぬがパクパク食べているそばってなぁに,ワンコソバ,,,,,
