0,パンはパンでも食べられないパンは？,ふらいぱん,,,,,
1,食べられないパン屋さんにある白黒模様のパンってなに？,ぱんだ,,,,,
2,「リンリンリンリンリン」とベルがなる食べ物なーんだ？,りんご,,,,,
3,歩いて渡れないけれど、とても綺麗な七色の橋ってなに？,にじ,,,,,
4,「ふえ」をさかさまにふくとでてくるアルファベットってなぁに？,えふ,,,,,
5,夏でも手がふるえている4本あしの家具ってなぁに？,てーぶる,,,,,
6,「え」っていっているのに、「お」に聞こえる顔ってどんな顔？,えがお,,,,,
7,3つの「かん」にはいっている、果物はなぁに？,みかん,,,,,
8,大根で作る、黄色い「あん」ってなぁに？,たくあん,,,,,
9,ケガをしたときに、まく「たい」ってどんな「たい」？,ほうたい,,,,,
10,10回ふーふーしないと食べられないものなーんだ？,とうふ,,,,,
11,コップに「す」を10こいれる、甘くておいしい飲み物なーんだ？,じゅーす,,,,,\n
12,海じゃなくて、空で泳ぐ仲良しのお魚家族はなーんだ？,こいのぼり,,,,,
13,人をのせて空をとべる「き」ってどんな「き」？,ひこうき,,,,,
14,ネコが大好きな２つの星ってなぁに?,にぼし,,,,,
15,おまつりのときに、人が担ぐ「こし」ってなぁに？,みこし,,,,,
16,買い物にいくと、カバンからでるサイってどんなサイ？,さいふ,,,,,
17,すっぱくて黄色い「もん」ってどんな「もん」？,れもん,,,,,
18,かべをぬるときに使う黄色のペンってなぁに？,ぺんき,,,,,
19,イカの頭に「す」を付けるとできるくだものはなーんだ？,すいか,,,,,
20,大きな穴が開いているのに沈まないものってなーんだ？,うきわ,,,,,
21,こいぬがパクパク食べているそばってなぁに?,わんこそば,,,,,
22,とっても冷たいイスってなーんだ？,あいす,,,,,
23,目の前にあるのにないといわれる果物ってなーんだ？,なし,,,,,
24,秋になると赤くなる「じ」ってなーんだ？,もみじ,,,,,
25,保育園、幼稚園と色んな「えん」があるよね。運動会でみんながする「えん」ってなーんだ？,おうえん,,,,,
26,「ま」が３つの食べ物ってなーんだ？,さんま,,,,,
27,てぶくろに絶対についているいろってなーんだ？,くろ,,,,,
28,透明なテープの裏にのりがついていて、紙を止めたりするのに使う文房具は？,せろてーぷ,,,,,
29,お正月のおぞう煮に入っている動物はなーんだ？,ぞう,,,,,
30,お正月に空にあげるものってなーんだ？,たこ,,,,,
31,袋は袋でも寒い日に使いたくなる袋ってなーんだ？,てぶくろ,,,,,
32,カバンの中にいる体の大きな動物はなーんだ？,かば,,,,,
33,年齢を聞かれると必ず出てくる動物はなーんだ？,さい,,,,,
34,にわで逆立ちしている動物ってなーんだ？,わに,,,,,
35,どうしても真ん中だけ食べることができないお菓子ってなーんだ？,どーなつ,,,,,
36,おにがいつも握っている食べ物はなーんだ？,おにぎり,,,,,
37,くりはくりでも、とっても驚いている「くり」ってなーんだ？,びっくり,,,,,
38,空から降ってくるお菓子ってなーんだ？,あめ,,,,,
39,たまを５つ集めると出てくる食べ物ってなーんだ？,たまご,,,,,
40,公園でいつもブラブラしている人気者はなーんだ？,ぶらんこ,,,,,
41,クモが逆立ちするのは何曜日？,もくようび,,,,,
42,お金を大事にしまうサイってなーんだ？,さいふ,,,,,
43,覗いてみると自分が映るよ、これってなーんだ？,かがみ,,,,,
44,壊れている調味料ってなーんだ？,こしょう,,,,,
45,クリスマスツリーの一番上に飾ってある食べ物はなーんだ？,くり,,,,,
46,ハロウィンで活躍するおちゃってなーんだ？,かぼちゃ,,,,,
47,お正月に子供が喜ぶ大人が落とすものってなーんだ？,おとしだま,,,,,
48,春になると土の中からニョキニョキ出てくるくしってなーんだ？,つくし,,,,,
49,桜の花に集まるなみってなーんだ？,はなみ,,,,,
50,春になると出てくるかばってなーんだ？,わかば,,,,,
